Task,Group,Pass,NFR_Score,Maestro_Score,Cost($)
django__django-11910,A,0,0,0,0.22645
django__django-11910,B,1,95,95,0.269715
django__django-11910,C,1,65,65,0.351195
django__django-11910,D,1,65,65,0.206015
django__django-11910,E,1,55,55,0.15128
django__django-11964,A,0,0,0,0.271575
django__django-11964,B,1,100,100,0.3118
django__django-11964,C,1,75,75,0.398285
django__django-11964,D,1,70,70,0.171435
django__django-11964,E,1,70,70,0.12117
django__django-11999,A,0,0,0,0.231555
django__django-11999,B,0,60,0,0.2593
django__django-11999,C,1,80,80,0.3493
django__django-11999,D,1,100,100,0.17237
django__django-11999,E,0,60,0,0.107045
django__django-12113,A,0,0,0,0.220315
django__django-12113,B,1,80,80,0.259465
django__django-12113,C,1,80,80,0.353785
django__django-12113,D,1,90,90,0.112985
django__django-12113,E,1,90,90,0.112985
django__django-12125,A,0,0,0,0.198095
django__django-12125,B,0,70,0,0.294185
django__django-12125,C,0,70,0,0.436315
django__django-12125,D,1,70,70,0.292515
django__django-12125,E,0,70,0,0.177735
django__django-12184,A,0,0,0,0.36658
django__django-12184,B,0,70,0,0.439215
django__django-12184,C,0,70,0,0.546245
django__django-12184,D,0,70,0,0.21552
django__django-12184,E,0,90,0,0.14013
django__django-12284,A,0,0,0,0.26884
django__django-12284,B,1,80,80,0.302105
django__django-12284,C,1,70,70,0.394795
django__django-12284,D,1,80,80,0.156635
django__django-12284,E,1,70,70,0.111545
django__django-12286,A,0,0,0,0.218195
django__django-12286,B,1,65,65,0.269905
django__django-12286,C,1,85,85,0.353865
django__django-12286,D,1,75,75,0.202095
django__django-12286,E,1,65,65,0.146915
django__django-12308,A,0,0,0,0.26303
django__django-12308,B,1,40,40,0.310685
django__django-12308,C,1,90,90,0.41016
django__django-12308,D,1,90,90,0.157065
django__django-12308,E,0,60,0,0.09776
django__django-12453,A,0,0,0,0.20785
django__django-12453,B,1,100,100,0.29381
django__django-12453,C,1,100,100,0.417795
django__django-12453,D,1,100,100,0.184215
django__django-12453,E,1,100,100,0.184215
django__django-12470,A,0,0,0,0.23903
django__django-12470,B,1,90,90,0.265395
django__django-12470,C,1,80,80,0.34707
django__django-12470,D,1,70,70,0.24156
django__django-12470,E,1,65,65,0.162565
django__django-12497,A,0,0,0,0.277825
django__django-12497,B,0,70,0,0.316695
django__django-12497,C,0,70,0,0.428135
django__django-12497,D,0,70,0,0.199545
django__django-12497,E,0,70,0,0.14097
django__django-12589,A,0,0,0,0.279705
django__django-12589,B,1,85,85,0.366125
django__django-12589,C,1,75,75,0.48299
django__django-12589,D,1,75,75,0.24042
django__django-12589,E,1,65,65,0.153065
django__django-12700,A,0,0,0,0.30555
django__django-12700,B,0,100,0,0.385955
django__django-12700,C,1,100,100,0.52044
django__django-12700,D,0,100,0,0.269315
django__django-12700,E,0,100,0,0.175925
